Area,Year,1. Median,2. Median,3. Median,4. Median,5. Median,6. Median,7. Median,8. Median,9. Median,10. Median
TR Türkiye,2021,9030.65,14268.57,18320,22004.86,25915.33,30351,35800,43477,56431.11,88617.93
TR10 (İstanbul),2021,13462.22,19230.77,23969.33,28262.33,33438.46,38655.71,45496.67,55711,72490.48,132026.67
TR21 (Tekirdağ Edirne Kırklareli),2021,12412.4,18913.33,23479.05,27603.03,32114.29,36045.2,41994,49135.71,60038.33,94166.67
TR22 (Balıkesir Çanakkale),2021,9658.06,16228.33,19549.03,23082.83,26632.4,31225.33,35582,42005.56,52878,82506.67
TR31 (İzmir),2021,13366.67,20000,25158.57,29693.33,34262,40630.43,48262.33,56093.6,70202.5,105392.22
TR32 (Aydın Denizli Muğla),2021,13488.33,18229.58,21580,25870.89,29423.91,34605.29,40940,48352.67,62430,88586.77
TR33 (Manisa Afyon Kütahya Uşak),2021,11814.14,16074.78,19204,22677.78,25457,29334,33342.67,38939.2,50022.22,77635.56
TR41 (Bursa Eskişehir Bilecik),2021,15759.6,20722.71,24408.57,27864.44,31748.33,36093.6,41872,48981.6,58296,85392.17
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2021,12407.41,19091.84,22624.52,25533.33,29390,33331,37668.5,45295.36,54934.67,80518
TR51 (Ankara),2021,15950,20736.4,25444.62,29208,34287.33,39417,45570,54507.78,68563,109389
TR52 (Konya Karaman),2021,8770,15351.33,18053.33,21929.33,24160.38,27513.81,31677.6,38057,47330.53,76423.5
TR61 (Antalya Isparta Burdur),2021,10200,17188.33,21303.81,25254.76,29253,33584.5,39588,45706.57,60533,89325.33
TR62 (Adana Mersin),2021,8350.71,11608.38,14622.4,17760.88,20948.13,24384.64,29457.4,36008.57,48006.11,73292.8
TR63 (Hatay Kahramanmaraş Osmaniye),2021,7351.37,11028.57,13346.8,15832.42,18768.89,21222.22,24830,29897.78,36803.89,62561.9
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2021,9600,13956.5,16990,20453.85,23682.78,27716,32672,38596,50450.67,76779.33
TR72 (Kayseri Sivas Yozgat),2021,9130.32,14051.5,17528.85,20058.8,22655.15,26157.86,30848.5,35860,46107.6,76812
TR81 (Zonguldak Karabük Bartın),2021,12781.6,19654.29,22813.33,25229.5,28942,31680.67,34690,41121.33,50644.5,71653.33
TR82 (Kastamonu Çankırı Sinop),2021,7774.48,15764,19238.97,22890.48,27081.33,31601.33,36697.14,42646,53170.11,73083.85
TR83 (Samsun Tokat Çorum Amasya),2021,9323.55,13941.67,18610.24,21616,24558.97,28374,32864.84,38831,49496.43,78216.96
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2021,12420.97,17760.8,21986.67,25310.28,28326,31669.64,35851.9,42095.33,51074.67,79786.67
TRA1 (Erzurum Erzincan Bayburt),2021,9539.44,12764.29,15513.1,18592.86,21568.8,24492.17,28379.6,33936,42152,72381.67
TRA2 (Ağrı Kars Iğdır Ardahan),2021,5295.26,7945.29,10323.91,12372.22,14343.82,16828,19991.79,24235,32380.95,59338.28
TRB1 (Malatya Elazığ Bingöl Tunceli),2021,11526.9,14095.24,16588.33,18565,20888.57,23325,28253,32292.43,39927,60751.2
TRB2 (Van Muş Bitlis Hakkari),2021,6023.87,8055.24,9575.56,11404.67,13576.67,15555.12,17896.13,21098,27496.07,41257
TRC1 (Gaziantep Adıyaman Kilis),2021,9608.33,13333.33,15438.18,17260,20000,22203.03,26642.5,30800,40635.56,61747.62
TRC2 (Şanlıurfa Diyarbakır),2021,6011.88,8209.7,9802.5,11241.5,12716.67,15365.42,17889.41,22135.15,28670,48459.5
TRC3 (Mardin Batman Şırnak Siirt),2021,5453.75,7553.45,9784.4,11623.45,13356.33,14988.15,17942.22,21458,26546,50700
TR Türkiye,2020,7970.42,12406.79,16020.67,19286.48,22903.04,26917.17,31880.95,38410.29,49697.92,79920.34
TR10 (İstanbul),2020,12742.79,17792.34,21925.14,26230,29802.99,35120.52,40947.85,50225.21,65809.38,145520.69
TR21 (Tekirdağ Edirne Kırklareli),2020,10760.51,16608.69,20156.2,23690.48,28241.65,31525.5,34972.3,40486.94,51046.71,78211.95
TR22 (Balıkesir Çanakkale),2020,5909.09,11485.3,15825.5,18637.11,21491.46,26000,30404.29,37416.64,48777.68,72119.64
TR31 (İzmir),2020,12239.62,17240,21052.38,26144.58,29729.24,34077.33,39790.62,47913.52,61988.79,90361.97
TR32 (Aydın Denizli Muğla),2020,10286.91,15153.68,18508.85,21908.02,24934.78,28487.14,35154.4,41800.12,52376.61,94550.84
TR33 (Manisa Afyon Kütahya Uşak),2020,9234.78,13408.7,16374.43,19415.55,21827.78,25448.2,29819.56,34948.47,44955.5,73855.62
TR41 (Bursa Eskişehir Bilecik),2020,13125.24,18462.5,21570.91,24862.57,27771.97,31733.58,36443.35,41200,50990.41,72703.74
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2020,11785.77,16790.33,19908.45,22632.75,26189.11,29351.37,33365.31,38515.33,46590.75,66787.37
TR51 (Ankara),2020,12523.81,17486.86,21195.15,24981.74,29327.39,33732.57,38894.97,47053.55,60722.79,96748.89
TR52 (Konya Karaman),2020,8157.95,12541.62,15779.94,18884.07,22250.45,25117.47,28589.93,35081.41,45635.92,69349.09
TR61 (Antalya Isparta Burdur),2020,8364.54,13804.88,18706.4,22322.99,25457.24,29890.59,34394.3,40783.85,54267.14,85486.03
TR62 (Adana Mersin),2020,7679.89,12088.74,14730.97,17521.85,20843.8,24243.34,29115.52,35658.42,47069.71,74000.48
TR63 (Hatay Kahramanmaraş Osmaniye),2020,6856.19,10998.52,12794.39,14761,17207.56,19113.23,22480.6,26724.83,33984.91,54424.47
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2020,8475.46,12334.19,14832.85,18123.33,20660.56,24869.89,28254.85,34863,46172.16,66500
TR72 (Kayseri Sivas Yozgat),2020,8658.5,12406.79,15365.45,18491.63,20802.1,23690.48,27247.36,32159.52,39752.12,59938.31
TR81 (Zonguldak Karabük Bartın),2020,11938.95,16689.61,20077.24,22614.05,25668.11,28910.72,32323.78,38828.45,45305.26,60001.81
TR82 (Kastamonu Çankırı Sinop),2020,6030.8,12756.06,15683.33,19966.73,23211.34,27047.62,30939.27,35526.72,44737.44,64317.27
TR83 (Samsun Tokat Çorum Amasya),2020,7941.27,11608.3,14455.18,17797.62,20481.69,23073.27,26973.88,32146.45,41197.07,65197.78
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2020,8860.47,13877.33,18009.02,20857.47,24129.99,27073.37,30642.38,36323.82,45444.35,69493.53
TRA1 (Erzurum Erzincan Bayburt),2020,7185.48,10752.61,13505.83,15471.56,18213.74,21398.11,24727.27,29159.62,35793.86,55425.46
TRA2 (Ağrı Kars Iğdır Ardahan),2020,4688.68,7491.77,8980.97,11145.13,13018.16,15094.58,18068.97,21419.05,28776.84,49403.81
TRB1 (Malatya Elazığ Bingöl Tunceli),2020,8978.39,11669.55,14232.62,16567.06,18749.02,20791.44,24521.94,29636.86,37016.83,52477.2
TRB2 (Van Muş Bitlis Hakkari),2020,4272.54,6430.59,7980.62,9437.18,10899.03,12838.05,15149.33,18354.17,22484.05,38257.01
TRC1 (Gaziantep Adıyaman Kilis),2020,7611.11,10938.4,12843.75,14906.49,16878.06,19100.54,22505.73,26456.19,34081.52,52033.33
TRC2 (Şanlıurfa Diyarbakır),2020,5095.83,7641.15,8607.1,10185.34,11397.44,12999.06,15422.38,19249.38,26483.76,43921.91
TRC3 (Mardin Batman Şırnak Siirt),2020,5046.9,6841.32,8730.97,10000.5,11589.3,13369.65,15258.95,18260.74,24105.13,46391.11
TR Türkiye,2019,7141.94,10981.84,14112.65,17032.56,20017.87,23416.67,27501.13,33285.73,42527.36,66979.83
TR10 (İstanbul),2019,11273.33,15678.67,19297.38,22520.3,26012.65,30350.57,35795.7,43132.84,56184.57,101859.48
TR21 (Tekirdağ Edirne Kırklareli),2019,9433.33,13995.4,17531.38,21561.11,24471.98,27591.6,31814.87,37986.26,46998,68892.56
TR22 (Balıkesir Çanakkale),2019,6271.02,11462.46,14642.31,16690.14,19360.24,22232.48,26123.02,30201.33,38366.62,59182.65
TR31 (İzmir),2019,11056.91,15117.55,18130.84,21612.71,25773.85,29685.42,36292.81,42789.67,52397,78501.14
TR32 (Aydın Denizli Muğla),2019,9070.59,13283.33,16907.68,19700.4,22505.67,25671.01,29174.53,34145.43,41925.07,61182.92
TR33 (Manisa Afyon Kütahya Uşak),2019,8498.57,12347.86,15183.16,17650.94,19428.57,21524.24,24928.06,29983.2,37127.49,58576.67
TR41 (Bursa Eskişehir Bilecik),2019,11425.5,15992.13,18926.36,20972.23,24201.79,27582.76,31231.76,36345.74,44040,61014.76
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2019,10342.41,14218.73,16612.89,19914.05,22567.99,25584.83,28365.15,32577.89,39918.23,56066.56
TR51 (Ankara),2019,11484.64,15934.77,18961.8,22557.06,26120.39,29791.51,34733.27,42274.93,53394.47,80775.2
TR52 (Konya Karaman),2019,7826.25,11573.13,14233.33,16141.82,18566.17,21499.57,24568.49,28693.9,36934.62,58267.08
TR61 (Antalya Isparta Burdur),2019,7483.8,12709.68,15638.1,18557.98,21425.41,25191.3,29585.9,35831.7,44209.59,64920.2
TR62 (Adana Mersin),2019,7745.34,10447.83,13209.27,15674.84,18866.03,22040.43,26611.87,31754.61,39773.66,60864.44
TR63 (Hatay Kahramanmaraş Osmaniye),2019,5428.33,8614.73,10728.57,12395.41,14603.76,16488.54,19130.43,23260.39,29538.29,51199.01
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2019,8124.77,11681.63,13580.18,16707.88,19270.62,21762.56,25359.29,29571.16,38163.8,54338.91
TR72 (Kayseri Sivas Yozgat),2019,8618.9,11331,13763.71,16623.98,18828.48,20986.19,24731.29,28881.87,36032.8,58470.93
TR81 (Zonguldak Karabük Bartın),2019,10973.43,14444.31,17445.7,20221.99,22582.07,25157.24,28933.57,32527.35,37943.69,52664.16
TR82 (Kastamonu Çankırı Sinop),2019,5668.96,10689.47,14539.49,17653.2,20330.25,23186.71,26435.88,30212.32,38941.64,52617.17
TR83 (Samsun Tokat Çorum Amasya),2019,7352.21,11195.29,13528.26,16174.72,18707.48,21336.48,24623.53,28848.71,36531.13,54299.23
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2019,8054.41,12435.57,15488.64,18043.26,20324.48,22881.22,25865.75,30474.85,40464.3,61707.48
TRA1 (Erzurum Erzincan Bayburt),2019,6920.13,10000.18,12310.83,14564.52,17349.66,19499.92,22377.03,25855.51,31847.52,47433.59
TRA2 (Ağrı Kars Iğdır Ardahan),2019,4693.73,7453.92,8861.08,10550.95,12083.58,14212.08,16858.11,20125.68,26142.61,38178.52
TRB1 (Malatya Elazığ Bingöl Tunceli),2019,8941.29,10456.75,12346.08,14455.86,16370.88,18852.01,22252.13,26011.67,31814.97,45848.67
TRB2 (Van Muş Bitlis Hakkari),2019,4943.98,6571.57,7859.57,9012.59,10476.01,11997.25,14448.94,16509.55,20338.73,36381.9
TRC1 (Gaziantep Adıyaman Kilis),2019,7369.57,9679.86,11238.1,12580,13916.67,15950.53,18880.51,22911.56,28343.79,47663.41
TRC2 (Şanlıurfa Diyarbakır),2019,4305.09,5837.14,7028.38,8165.21,9569.83,11168.28,13299.52,16166.98,20776.94,39743.81
TRC3 (Mardin Batman Şırnak Siirt),2019,3857.84,6093.17,7400.26,8324.1,9515,11278.16,13003.32,15474.64,19492.77,30093.02
TR Türkiye,2018,6086.06,9157.59,11575.5,13958.15,16459.53,19332.15,22861.44,27535.99,35816.67,58061.7
TR10 (İstanbul),2018,8809.2,12699.14,15465.06,18581.23,21901.93,25484.71,30152.6,37305.21,49174.24,93290.78
TR21 (Tekirdağ Edirne Kırklareli),2018,8351.16,11814.03,14698.75,17765.97,20930.78,23487.28,27672.31,33831.94,43150.67,75655.75
TR22 (Balıkesir Çanakkale),2018,5745.81,9389.06,11893.39,13535.65,15918.98,18511.73,21825.18,25372.66,32526.71,50612.47
TR31 (İzmir),2018,9207.19,12671.57,15559.11,18518.57,21570.72,24583.18,29412.16,35164.62,45536,67828.01
TR32 (Aydın Denizli Muğla),2018,8166.67,10654.92,13072.22,15401.06,17549.62,20000,23202,27191.78,33702.01,48866.08
TR33 (Manisa Afyon Kütahya Uşak),2018,7842.86,10437.5,12294.83,14486.15,16298.01,18559.81,21038.52,24867.04,30301.47,45545.19
TR41 (Bursa Eskişehir Bilecik),2018,9002.68,12099.18,14873.8,17041.58,20000,23276.86,26341.44,29548.41,37447.72,51863.31
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2018,8375,11705.96,14512.21,16949.41,19148.42,21392.98,24359.41,28607.86,34348.19,55287.62
TR51 (Ankara),2018,8692.4,12955.49,15689.43,18219.18,20784.96,23766.25,27797.17,33371.47,43515.83,70488.54
TR52 (Konya Karaman),2018,5787.61,9405.71,11757.51,13814,15712.24,18025.2,20733.33,25236.09,32048.17,51028.71
TR61 (Antalya Isparta Burdur),2018,7973.72,10412.4,13265.56,15383.24,18044.03,20891.41,24730.94,28844.74,36699.71,57600.77
TR62 (Adana Mersin),2018,6600,9250,11279.41,13205.27,15584.4,18099.92,21904.77,26847.31,35016.93,58246.36
TR63 (Hatay Kahramanmaraş Osmaniye),2018,5440.3,7889.72,9246.15,11038.33,12733.79,14539.91,16432.3,21110.73,26294.71,47187.71
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2018,6428.57,9091.76,10896.96,13001.12,15527.03,17087.94,19963.79,24003.55,31065.63,45003.38
TR72 (Kayseri Sivas Yozgat),2018,6315.93,9357.14,11321.3,13654.38,15434.24,17913.2,20048.28,22589.65,27727.22,42870.36
TR81 (Zonguldak Karabük Bartın),2018,8422.25,11591.23,13916.92,15618.15,17525.32,19219.11,22619.05,25645.21,32899.72,48125
TR82 (Kastamonu Çankırı Sinop),2018,6415.42,9429.2,12100,14074.82,16268.24,18666.51,21706.06,25938.45,33170.52,47819.41
TR83 (Samsun Tokat Çorum Amasya),2018,6296.65,9313.55,11573.79,13680.03,15521.61,17713.65,20351.18,24261.24,30250.48,48646.74
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2018,6517.36,10447.83,12482.66,13657.78,15533.33,17685.71,20510,24307.81,31226.95,48490.42
TRA1 (Erzurum Erzincan Bayburt),2018,6630.43,9408.96,11087.83,12855.32,15151.07,16665.77,19324.51,22302.15,26838.34,42913.11
TRA2 (Ağrı Kars Iğdır Ardahan),2018,4200,6307.21,7548.94,8656.07,10112.87,11860.94,13824.72,16759.16,21569.51,35668.07
TRB1 (Malatya Elazığ Bingöl Tunceli),2018,7188.15,9468.55,11391.46,12504.44,14341.06,16340.22,18803.06,22121.58,28585.33,40693.33
TRB2 (Van Muş Bitlis Hakkari),2018,3408.77,5017.08,6116.04,7154.93,8417.96,9579.55,10702.6,13132.27,16595.11,25400.22
TRC1 (Gaziantep Adıyaman Kilis),2018,6482.76,8000,9155.17,10581.42,12001.26,13578.07,16275.53,19116.68,23492.05,38577.29
